Project Name,Description,API URL,Github URL,Last Updated,Link URL,Organization Name,Organization API URL,Organization City,Organization Website,,,,,,,,,,
Homeroom,Team Somerville build week app. Takes student data and makes it into a sortable roster.,http://codeforamerica.org/api/projects/36724,https://github.com/codeforamerica/Homeroom,Team Somerville build week app. Takes student data and makes it into a sortable roster.,http://homeroom-test.on-aptible.com/,Code for America,http://codeforamerica.org/api/organizations/Code-for-America,San Francisco_ CA,http://codeforamerica.org,,,,,,,,,,
DKAN,[DKAN](http://nucivic.com/dkan) is a Drupal-based open data tool with a full suite of cataloging,publishing and visualization features that allows governments,nonprofits and universities to easily publish data to the public. DKAN is maintained by [NuCivic](http://nucivic.com).,http://codeforamerica.org/api/projects/36837,https://github.com/NuCivic/dkan,[DKAN](http://nucivic.com/dkan) is a Drupal-based open data tool with a full suite of cataloging,publishing and visualization features that allows governments,nonprofits and universities to easily publish data to the public. DKAN is maintained by [NuCivic](http://nucivic.com).,http://getdkan.com/,Code for Philly,http://codeforamerica.org/api/organizations/Code-for-Philly,Philadelphia_ PA,http://codeforphilly.org/,,,,,,
teardown-tattler,Protect and Preserve Kansas City's Architecture and History,http://codeforamerica.org/api/projects/36870,https://github.com/codeforkansascity/teardown-tattler,Protect and Preserve Kansas City's Architecture and History,(null),Code for Kansas City,http://codeforamerica.org/api/organizations/Code-for-Kansas-City,Kansas City_ KS & MO,http://codeforkc.org/,,,,,,,,,,
ohana-web-search,A mobile-friendly website for finding human and social services in your community,http://codeforamerica.org/api/projects/36468,https://github.com/codeforamerica/ohana-web-search,A mobile-friendly website for finding human and social services in your community,http://ohana-web-search-demo.herokuapp.com,Code for America,http://codeforamerica.org/api/organizations/Code-for-America,San Francisco_ CA,http://codeforamerica.org,,,,,,,,,,
myths,Dispelling myths.,http://codeforamerica.org/api/projects/36868,https://github.com/18F/myths,Dispelling myths.,,18F,http://codeforamerica.org/api/organizations/18F,San Francisco_ CA,https://18f.gsa.gov/,,,,,,,,,,
badeseenservice,,http://codeforamerica.org/api/projects/36866,https://github.com/CodeForGiessen/badeseenservice,,(null),OK Lab Gießen,http://codeforamerica.org/api/organizations/OK-Lab-Gießen,Gießen_ Germany,http://codefor.de/giessen,,,,,,,,,,
heatseeknyc,HeatSeekNYC -- a web-enabled hardware platform to detect heating violations in NYC,http://codeforamerica.org/api/projects/31615,https://github.com/heatseeknyc/heatseeknyc,HeatSeekNYC -- a web-enabled hardware platform to detect heating violations in NYC,http://heatseeknyc.com/,Beta NYC,http://codeforamerica.org/api/organizations/Beta-NYC,New York_ NY,http://www.beta.nyc,,,,,,,,,,
DivvyAPI,A wrapper for the Divvy API in Objective-C that is easier for developers to use.,http://codeforamerica.org/api/projects/34100,https://github.com/AdamGluck/DivvyAPI,A wrapper for the Divvy API in Objective-C that is easier for developers to use.,,Open Gov Hack Night,http://codeforamerica.org/api/organizations/Open-Gov-Hack-Night,Chicago_ IL,http://opengovhacknight.org,,,,,,,,,,
Muenchen-Transparent,München Transparent - alternatives Ratsinformationssystem,http://codeforamerica.org/api/projects/35145,https://github.com/codeformunich/Muenchen-Transparent,München Transparent - alternatives Ratsinformationssystem,https://www.muenchen-transparent.de,OK Lab München,http://codeforamerica.org/api/organizations/OK-Lab-München,Munich_ Germany,http://codefor.de/muenchen,,,,,,,,,,
follow-all,Follow all the members of a Twitter list with a single click,http://codeforamerica.org/api/projects/36343,https://github.com/codeforamerica/follow-all,Follow all the members of a Twitter list with a single click,http://follow-all.herokuapp.com/,Code for America,http://codeforamerica.org/api/organizations/Code-for-America,San Francisco_ CA,http://codeforamerica.org,,,,,,,,,,
adopt-a-hydrant,"A web application that allows citizens to ""adopt"" civic infrastructure",such as fire hydrants that need to be shoveled out after it snows.,http://codeforamerica.org/api/projects/36163,https://github.com/codeforamerica/adopt-a-hydrant,"A web application that allows citizens to ""adopt"" civic infrastructure",such as fire hydrants that need to be shoveled out after it snows.,http://adopt-a-hydrant.herokuapp.com/,Code for America,http://codeforamerica.org/api/organizations/Code-for-America,San Francisco_ CA,http://codeforamerica.org,,,,,,,,
nashploration,,http://codeforamerica.org/api/projects/36869,https://github.com/code-for-nashville/nashploration,,(null),Code for Nashville,http://codeforamerica.org/api/organizations/Code-for-Nashville,Nashville_ TN,http://www.codefornashville.org,,,,,,,,,,
louisville-buildings,Proposed import of buildings for Louisville using data from data.louisvilleky.gov.,http://codeforamerica.org/api/projects/36713,https://github.com/civicdata/louisville-buildings,Proposed import of buildings for Louisville using data from data.louisvilleky.gov.,,Civic Data Alliance,http://codeforamerica.org/api/organizations/Civic-Data-Alliance,Louisville_ KY,http://www.civicdataalliance.org/,,,,,,,,,,
divvyapiapi,An API for the Divvy bike share API.,http://codeforamerica.org/api/projects/34183,https://github.com/iandees/divvyapiapi,An API for the Divvy bike share API.,(null),Open Gov Hack Night,http://codeforamerica.org/api/organizations/Open-Gov-Hack-Night,Chicago_ IL,http://opengovhacknight.org,,,,,,,,,,
https-scan,Scan domains for HTTPS,HTTPS quality,and mixed content issues.,http://codeforamerica.org/api/projects/34283,https://github.com/18F/https-scan,Scan domains for HTTPS,HTTPS quality,and mixed content issues.,,18F,http://codeforamerica.org/api/organizations/18F,San Francisco_ CA,https://18f.gsa.gov/,,,,,,
kidsle,Kitas,Kindergärten,Spielplätze und Schulen in Leipzig,http://codeforamerica.org/api/projects/35137,https://github.com/CodeforLeipzig/kidsle,Kitas,Kindergärten,Spielplätze und Schulen in Leipzig,(null),OK Lab Leipzig,http://codeforamerica.org/api/organizations/OK-Lab-Leipzig,Leipzig_ Germany,http://codefor.de/leipzig,,,,,,
snap-it-up,Super-simple dashboard showing the status of SNAP-related web services.,http://codeforamerica.org/api/projects/36569,https://github.com/codeforamerica/snap-it-up,Super-simple dashboard showing the status of SNAP-related web services.,(null),Code for America,http://codeforamerica.org/api/organizations/Code-for-America,San Francisco_ CA,http://codeforamerica.org,,,,,,,,,,
doubleoffshore,Offshore drilling platforms near the coast of Nigeria,http://codeforamerica.org/api/projects/35856,https://github.com/CodeForAfrica/doubleoffshore,Offshore drilling platforms near the coast of Nigeria,(null),Code for Kenya,http://codeforamerica.org/api/organizations/Code-for-Kenya,Nairobi_ Kenya,http://code4kenya.org,,,,,,,,,,
doubleoffshore,Offshore drilling platforms near the coast of Nigeria,http://codeforamerica.org/api/projects/36013,https://github.com/CodeForAfrica/doubleoffshore,Offshore drilling platforms near the coast of Nigeria,(null),Code for Nigeria,http://codeforamerica.org/api/organizations/Code-for-Nigeria,Lagos_ Nigeria,http://code4nigeria.org,,,,,,,,,,
doubleoffshore,Offshore drilling platforms near the coast of Nigeria,http://codeforamerica.org/api/projects/35959,https://github.com/CodeForAfrica/doubleoffshore,Offshore drilling platforms near the coast of Nigeria,(null),Code for Africa,http://codeforamerica.org/api/organizations/Code-for-Africa,,http://www.codeforafrica.org/,,,,,,,,,,
doubleoffshore,Offshore drilling platforms near the coast of Nigeria,http://codeforamerica.org/api/projects/35994,https://github.com/CodeForAfrica/doubleoffshore,Offshore drilling platforms near the coast of Nigeria,(null),Code for Ghana,http://codeforamerica.org/api/organizations/Code-for-Ghana,Accra_ Ghana,http://codeforghana.org,,,,,,,,,,
